timestamp_iso,timestamp_unix,elapsed_sec,frame_type,has_acc,has_gyro,has_angle,acc_x_g,acc_y_g,acc_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,roll_deg,pitch_deg,yaw_deg
2021-03-27 02:03:12,1616810592.762208,330.892108,angle,1,1,1,-0.012207,0.047363,1.105469,4.882812,-2.502441,2.380371,-7.102661,14.589844,115.400391
2021-03-27 02:03:12,1616810592.782976,330.912876,angle,1,1,1,0.048340,0.096680,1.061523,2.014160,-1.770020,2.014160,-6.981812,14.490967,115.323486
2021-03-27 02:03:12,1616810592.801685,330.931584,angle,1,1,1,-0.031738,-0.137695,1.055664,2.685547,-1.708984,0.244141,-6.910400,14.403076,115.230103
2021-03-27 02:03:12,1616810592.822460,330.952360,angle,1,1,1,-0.069336,-0.055176,1.028809,2.136230,-1.770020,-0.183105,-6.860962,14.342651,115.197144
2021-03-27 02:03:12,1616810592.843233,330.973132,angle,1,1,1,-0.154297,0.007324,0.941895,0.732422,-1.342773,-1.403809,-6.860962,14.293213,115.125732
2021-03-27 02:03:12,1616810592.861926,330.991825,angle,1,1,1,-0.277832,-0.155273,0.972168,2.197266,-2.441406,-2.197266,-6.866455,14.238281,115.010376
2021-03-27 02:03:12,1616810592.882740,331.012635,angle,1,1,1,-0.226562,-0.136719,0.934082,3.234863,-2.624512,-2.197266,-6.838989,14.166870,114.884033
2021-03-27 02:03:12,1616810592.901498,331.031397,angle,1,1,1,-0.128906,0.066406,0.875488,0.671387,-3.662109,-3.845215,-6.811523,14.029541,114.746704
2021-03-27 02:03:12,1616810592.922315,331.052211,angle,1,1,1,-0.126953,-0.060547,0.861328,0.793457,-4.333496,-5.493164,-6.784058,13.815308,114.609375
2021-03-27 02:03:12,1616810592.943107,331.073006,angle,1,1,1,-0.166016,-0.211914,0.914062,2.502441,-2.380371,-6.713867,-6.740112,13.606567,114.466553
2021-03-27 02:03:12,1616810592.961811,331.091710,angle,1,1,1,-0.142090,-0.082520,0.850586,1.708984,-0.488281,-7.019043,-6.668701,13.452759,114.329224
2021-03-27 02:03:12,1616810592.982579,331.112478,angle,1,1,1,-0.121582,-0.028320,0.973145,1.281738,0.122070,-6.774902,-6.613770,13.386841,114.087524
2021-03-27 02:03:12,1616810593.001283,331.131183,angle,1,1,1,-0.239258,-0.131836,1.077637,1.586914,1.647949,-7.385254,-6.558838,13.392334,113.801880
2021-03-27 02:03:13,1616810593.022059,331.151957,angle,1,1,1,-0.221680,0.001953,1.058594,2.929688,0.427246,-7.812500,-6.476440,13.441772,113.505249
2021-03-27 02:03:13,1616810593.042836,331.172735,angle,1,1,1,-0.051270,0.055176,1.026367,1.708984,-1.159668,-7.934570,-6.405029,13.452759,113.192139
2021-03-27 02:03:13,1616810593.061541,331.191441,angle,1,1,1,-0.021973,-0.098145,1.056152,1.037598,-4.699707,-9.399414,-6.383057,13.348389,112.895508
2021-03-27 02:03:13,1616810593.082310,331.212210,angle,1,1,1,-0.096191,-0.126465,1.112305,0.244141,-6.713867,-9.521484,-6.405029,13.156128,112.719727
2021-03-27 02:03:13,1616810593.101004,331.230903,angle,1,1,1,-0.199219,-0.169434,1.000000,-0.976562,-5.859375,-7.629395,-6.448975,12.952881,112.653809
2021-03-27 02:03:13,1616810593.121779,331.251677,angle,1,1,1,-0.224121,-0.089844,1.079102,-1.342773,-4.028320,-7.629395,-6.580811,12.815552,112.549438
2021-03-27 02:03:13,1616810593.142579,331.272477,angle,1,1,1,-0.176270,-0.261230,1.118652,-0.244141,-1.953125,-7.202148,-6.712646,12.777100,112.439575
2021-03-27 02:03:13,1616810593.161310,331.291209,angle,1,1,1,-0.235840,-0.262695,1.072266,-0.610352,-2.197266,-4.882812,-6.855469,12.744141,112.500000
2021-03-27 02:03:13,1616810593.182094,331.311994,angle,1,1,1,-0.136230,-0.020020,0.912598,-2.258301,0.183105,-5.371094,-7.014771,12.744141,112.670288
2021-03-27 02:03:13,1616810593.200849,331.330748,angle,1,1,1,-0.136230,-0.160645,0.884277,-1.464844,2.258301,-6.896973,-7.152100,12.771606,112.890015
2021-03-27 02:03:13,1616810593.221617,331.351517,angle,1,1,1,-0.178223,-0.401855,0.986328,0.549316,3.479004,-6.286621,-7.212524,12.826538,113.186646
2021-03-27 02:03:13,1616810593.242389,331.372288,angle,1,1,1,-0.209961,-0.197266,0.963867,-0.793457,4.150391,-4.699707,-7.267456,12.908936,113.598633
2021-03-27 02:03:13,1616810593.261091,331.390991,angle,1,1,1,-0.237793,-0.098633,1.088867,-0.732422,4.333496,-4.089355,-7.349854,13.051758,113.977661
2021-03-27 02:03:13,1616810593.281861,331.411760,angle,1,1,1,-0.326172,-0.190430,1.187500,-1.037598,6.958008,-3.417969,-7.437744,13.320923,114.362183
2021-03-27 02:03:13,1616810593.300572,331.430467,angle,1,1,1,-0.223633,-0.009766,1.142090,-2.197266,6.103516,-3.295898,-7.558594,13.623047,114.790649
2021-03-27 02:03:13,1616810593.321386,331.451283,angle,1,1,1,0.039062,0.078613,1.170410,-4.150391,5.859375,-6.835938,-7.800293,13.903198,115.175171
2021-03-27 02:03:13,1616810593.342161,331.472060,angle,1,1,1,-0.062500,-0.299316,1.176270,-3.417969,1.586914,-6.347656,-8.041992,14.040527,115.444336
2021-03-27 02:03:13,1616810593.362930,331.492830,angle,1,1,1,-0.012695,-0.033691,1.228027,-4.943848,-2.929688,-3.784180,-8.272705,14.024048,115.702515
2021-03-27 02:03:13,1616810593.381625,331.511524,angle,1,1,1,0.002441,0.088379,1.111328,-3.784180,-3.601074,-5.187988,-8.497925,13.925171,115.768433
